Date,Industrial_prod
2021Mar,101.60
2021Feb,101.50
2021Jan,102.70
2020Dec,101.80
2020Nov,101.90
2020Oct,99.70
2020Sep,97.30
2020Aug,97.10
2020Jul,96.50
2020Jun,92.10
2020May,84.20
2020Apr,74.30
2020Mar,91.80
2020Feb,103.10
2020Jan,102.90
2019Dec,101.30
2019Nov,102.80
2019Oct,103.30
2019Sep,103.90
2019Aug,103.90
2019Jul,103.80
2019Jun,104.00
2019May,105.30
2019Apr,104.50
2019Mar,105.30
2019Feb,105.20
2019Jan,105.20
2018Dec,104.40
2018Nov,104.20
2018Oct,105.50
2018Sep,105.50
2018Aug,106.20
2018Jul,105.10
2018Jun,106.30
2018May,106.40
2018Apr,105.20
2018Mar,105.40
2018Feb,105.20
2018Jan,105.80
2017Dec,108.00
2017Nov,107.40
2017Oct,105.00
2017Sep,105.20
2017Aug,105.60
2017Jul,105.10
2017Jun,103.50
2017May,103.90
2017Apr,103.50
2017Mar,102.70
2017Feb,102.90
2017Jan,102.10
2016Dec,102.40
2016Nov,102.80
2016Oct,102.50
2016Sep,101.40
2016Aug,101.10
2016Jul,101.10
2016Jun,101.20
2016May,100.30
2016Apr,101.70
2016Mar,100.40
2016Feb,101.00
2016Jan,102.80
2015Dec,100.00
2015Nov,99.80
2015Oct,100.30
2015Sep,100.20
2015Aug,99.70
2015Jul,101.00
2015Jun,100.50
2015May,100.20
2015Apr,99.90
2015Mar,100.50
2015Feb,100.20
2015Jan,97.80
2014Dec,98.10
2014Nov,96.80
2014Oct,97.10
2014Sep,97.40
2014Aug,96.40
2014Jul,98.10
2014Jun,97.30
2014May,97.80
2014Apr,98.60
2014Mar,97.10
2014Feb,97.60
2014Jan,96.90
2013Dec,97.20
2013Nov,97.40
2013Oct,96.10
2013Sep,96.60
2013Aug,96.40
2013Jul,96.00
2013Jun,96.80
2013May,96.80
2013Apr,96.60
2013Mar,96.40
2013Feb,95.40
2013Jan,95.20
2012Dec,95.60
2012Nov,95.10
2012Oct,95.80
2012Sep,96.60
2012Aug,98.40
2012Jul,97.70
2012Jun,97.40
2012May,98.20
2012Apr,97.50
2012Mar,98.30
2012Feb,98.40
2012Jan,97.80
2011Dec,98.50
2011Nov,99.10
2011Oct,98.80
2011Sep,99.10
2011Aug,100.10
2011Jul,100.00
2011Jun,99.00
2011May,100.40
2011Apr,99.80
2011Mar,100.30
2011Feb,100.10
2011Jan,99.20
2010Dec,99.70
2010Nov,98.90
2010Oct,97.90
2010Sep,97.20
2010Aug,97.00
2010Jul,96.20
2010Jun,96.60
2010May,96.50
2010Apr,94.80
2010Mar,94.30
2010Feb,92.60
2010Jan,93.10
2009Dec,91.60
2009Nov,91.50
2009Oct,91.20
2009Sep,91.60
2009Aug,89.40
2009Jul,89.40
2009Jun,89.30
2009May,88.70
2009Apr,86.70
2009Mar,87.90
2009Feb,89.10
2009Jan,91.10
2008Dec,95.00
2008Nov,98.40
2008Oct,102.10
2008Sep,104.80
2008Aug,105.60
2008Jul,106.00
2008Jun,107.10
2008May,106.90
2008Apr,110.10
2008Mar,108.80
2008Feb,109.40
2008Jan,109.50
2007Dec,108.60
2007Nov,108.00
2007Oct,108.70
2007Sep,107.80
2007Aug,108.30
2007Jul,107.60
2007Jun,107.40
2007May,107.40
2007Apr,105.50
2007Mar,106.80
2007Feb,106.30
2007Jan,105.70
2006Dec,106.10
2006Nov,104.60
2006Oct,103.60
2006Sep,103.80
2006Aug,103.80
2006Jul,103.50
2006Jun,103.70
2006May,103.80
2006Apr,102.30
2006Mar,102.00
2006Feb,101.20
2006Jan,101.30
2005Dec,100.50
2005Nov,101.60
2005Oct,99.90
2005Sep,99.70
2005Aug,98.40
2005Jul,99.50
2005Jun,99.00
2005May,98.10
2005Apr,99.40
2005Mar,98.00
2005Feb,98.10
2005Jan,98.30