Period	Millions
2021Q1	2689185.16
2020Q4	2705948.99
2020Q3	2724691.56
2020Q2	2421449.32
2020Q1	2738033.93
2019Q4	2845222.12
2019Q3	2842661.90
2019Q2	2836555.64
2019Q1	2831045.47
2018Q4	2817679.10
2018Q3	2803752.17
2018Q2	2800224.07
2018Q1	2787618.84
2017Q4	2783961.24
2017Q3	2760157.62
2017Q2	2738925.23
2017Q1	2719040.64
2016Q4	2701373.70
2016Q3	2678852.89
2016Q2	2667377.74
2016Q1	2660816.82
2015Q4	2646472.77
2015Q3	2633815.17
2015Q2	2623043.30
2015Q1	2611588.78
2014Q4	2594447.40
2014Q3	2583028.99
2014Q2	2572116.72
2014Q1	2566404.27
2013Q4	2555738.38
2013Q3	2548566.05
2013Q2	2540613.32
2013Q1	2527049.21
2012Q4	2536709.44
2012Q3	2547593.39
2012Q2	2550408.68
2012Q1	2557322.67
2011Q4	2563626.97
2011Q3	2573143.29
2011Q2	2570029.29
2011Q1	2569861.43
2010Q4	2548377.62
2010Q3	2532607.21
2010Q2	2521704.68
2010Q1	2497329.48
2009Q4	2486916.76
2009Q3	2475729.77
2009Q2	2466339.61
2009Q1	2466990.44
2008Q4	2546997.63
2008Q3	2592473.34
2008Q2	2605691.88
2008Q1	2614073.45
2007Q4	2602527.46
2007Q3	2588719.29
2007Q2	2577300.32
2007Q1	2558912.40
2006Q4	2543046.88
2006Q3	2513909.44
2006Q2	2499022.62
2006Q1	2471681.41
2005Q4	2450115.02
2005Q3	2435151.50
2005Q2	2416481.20
2005Q1	2403302.61