Date	SovCISS
2021Apr	0.0275
2021Mar	0.0400
2021Feb	0.0418
2021Jan	0.0414
2020Dec	0.0496
2020Nov	0.0417
2020Oct	0.0531
2020Sep	0.0710
2020Aug	0.0975
2020Jul	0.1044
2020Jun	0.1346
2020May	0.1805
2020Apr	0.2519
2020Mar	0.2623
2020Feb	0.0623
2020Jan	0.0637
2019Dec	0.0865
2019Nov	0.0804
2019Oct	0.0732
2019Sep	0.0942
2019Aug	0.1136
2019Jul	0.0928
2019Jun	0.1051
2019May	0.0927
2019Apr	0.0870
2019Mar	0.1169
2019Feb	0.1355
2019Jan	0.1327
2018Dec	0.1619
2018Nov	0.1609
2018Oct	0.1784
2018Sep	0.1610
2018Aug	0.1484
2018Jul	0.1271
2018Jun	0.1419
2018May	0.0746
2018Apr	0.0499
2018Mar	0.0565
2018Feb	0.0536
2018Jan	0.0606
2017Dec	0.0616
2017Nov	0.0516
2017Oct	0.0509
2017Sep	0.0534
2017Aug	0.0686
2017Jul	0.0830
2017Jun	0.0893
2017May	0.1002
2017Apr	0.1290
2017Mar	0.1457
2017Feb	0.1502
2017Jan	0.1199
2016Dec	0.1177
2016Nov	0.0901
2016Oct	0.0670
2016Sep	0.0635
2016Aug	0.0693
2016Jul	0.0907
2016Jun	0.0824
2016May	0.0835
2016Apr	0.0918
2016Mar	0.0749
2016Feb	0.0696
2016Jan	0.0644
2015Dec	0.0692
2015Nov	0.0663
2015Oct	0.0685
2015Sep	0.0868
2015Aug	0.1121
2015Jul	0.1125
2015Jun	0.1104
2015May	0.1048
2015Apr	0.0884
2015Mar	0.1014
2015Feb	0.0999
2015Jan	0.1195
2014Dec	0.0855
2014Nov	0.0787
2014Oct	0.0825
2014Sep	0.0594
2014Aug	0.0660
2014Jul	0.0593
2014Jun	0.0783
2014May	0.0830
2014Apr	0.0673
2014Mar	0.0838
2014Feb	0.0962
2014Jan	0.1132
2013Dec	0.1305
2013Nov	0.1222
2013Oct	0.1794
2013Sep	0.2023
2013Aug	0.1949
2013Jul	0.2272
2013Jun	0.2525
2013May	0.2161
2013Apr	0.2540
2013Mar	0.2835
2013Feb	0.2779
2013Jan	0.2738
2012Dec	0.3054
2012Nov	0.3246
2012Oct	0.3563
2012Sep	0.3952
2012Aug	0.4122
2012Jul	0.4855
2012Jun	0.4758
2012May	0.4455
2012Apr	0.4293
2012Mar	0.4207
2012Feb	0.4481
2012Jan	0.5184
2011Dec	0.5264
2011Nov	0.5461
2011Oct	0.4899
2011Sep	0.4746
2011Aug	0.4255
2011Jul	0.4189
2011Jun	0.3137
2011May	0.2749
2011Apr	0.2828
2011Mar	0.3023
2011Feb	0.2943
2011Jan	0.3462
2010Dec	0.3480
2010Nov	0.3359
2010Oct	0.2770
2010Sep	0.2944
2010Aug	0.2836
2010Jul	0.3016
2010Jun	0.3072
2010May	0.2692
2010Apr	0.1647
2010Mar	0.1585
2010Feb	0.1641
2010Jan	0.1748
2009Dec	0.2005
2009Nov	0.1849
2009Oct	0.2246
2009Sep	0.2105
2009Aug	0.2785
2009Jul	0.2745
2009Jun	0.3587
2009May	0.3692
2009Apr	0.3559
2009Mar	0.4408
2009Feb	0.4242
2009Jan	0.4386
2008Dec	0.4553
2008Nov	0.4799
2008Oct	0.5221
2008Sep	0.4236
2008Aug	0.3024
2008Jul	0.3634
2008Jun	0.4265
2008May	0.4590
2008Apr	0.4564
2008Mar	0.4704
2008Feb	0.4236
2008Jan	0.3311
2007Dec	0.2583
2007Nov	0.2785
2007Oct	0.2568
2007Sep	0.2443
2007Aug	0.2285
2007Jul	0.1474
2007Jun	0.1005
2007May	0.0682
2007Apr	0.0573
2007Mar	0.0556
2007Feb	0.0501
2007Jan	0.0578
2006Dec	0.0516
2006Nov	0.0733
2006Oct	0.0763
2006Sep	0.0715
2006Aug	0.0667
2006Jul	0.0915
2006Jun	0.0867
2006May	0.0831
2006Apr	0.0602
2006Mar	0.0609
2006Feb	0.0354
2006Jan	0.0403
2005Dec	0.0371
2005Nov	0.0571
2005Oct	0.0318
2005Sep	0.0254
2005Aug	0.0247
2005Jul	0.0270
2005Jun	0.0482
2005May	0.0326
2005Apr	0.0300
2005Mar	0.0383
2005Feb	0.0298
2005Jan	0.0274